id,director,actor1,actor2,actor3,genres,keywords,title,comb
739993,petersollett,jaedenmartell,isishainsworth,adriangreensmith,Comedy Drama Music,high school,metal lords,Comedy Drama Music high school jaedenmartell isishainsworth adriangreensmith petersollett
809140,rosalindross,markwahlberg,melgibson,jackiweaver,Drama,based on true stori,father stu,Drama based on true stori markwahlberg melgibson jackiweaver rosalindross
338953,davidyates,eddieredmayne,judelaw,madsmikkelsen,Fantasy Adventure Action,"berlin, germani witch magic curs 1930s",fantastic beasts: the secrets of dumbledore,"Fantasy Adventure Action berlin, germani witch magic curs 1930s eddieredmayne judelaw madsmikkelsen davidyates"
698128,rileystearns,karengillan,aaronpaul,beulahkoale,Science Fiction Comedy,terminal il,dual,Science Fiction Comedy terminal il karengillan aaronpaul beulahkoale rileystearns
838484,tobymeakins,iolaevans,asabutterfield,robertenglund,Horror Thriller Science Fiction,video gam quest 1980s,choose or die,Horror Thriller Science Fiction video gam quest 1980s iolaevans asabutterfield robertenglund tobymeakins
945657,nicklyon,keeshasharp,jamiebamber,lydiahearst,Thriller Horror,,titanic 666,Thriller Horror  keeshasharp jamiebamber lydiahearst nicklyon
629542,pierreperifel,samrockwell,marcmaron,awkwafina,Animation Action Adventure Crime Comedy,based on com duringcreditssting,the bad guys,Animation Action Adventure Crime Comedy based on com duringcreditssting samrockwell marcmaron awkwafina pierreperifel
639933,roberteggers,alexanderskarsgård,nicolekidman,claesbang,Action Adventure Fantasy,"reveng death of fath based on myths, legends or folklor graphic viol",the northman,"Action Adventure Fantasy reveng death of fath based on myths, legends or folklor graphic viol alexanderskarsgård nicolekidman claesbang roberteggers"
648579,tomgormican,nicolascage,pedropascal,tiffanyhaddish,Action Comedy Crime,,the unbearable weight of massive talent,Action Comedy Crime  nicolascage pedropascal tiffanyhaddish tomgormican
927070,alastairfothergill,catherinekeener,,,Documentary,,polar bear,
606870,barrylevinson,benfoster,billymagnussen,vickykrieps,History Action Drama,trauma,the survivor,History Action Drama trauma benfoster billymagnussen vickykrieps barrylevinson
818397,martincampbell,liamneeson,guypearce,tajatwal,Action Thriller Crime,assassin remak,memory,Action Thriller Crime assassin remak liamneeson guypearce tajatwal martincampbell
860159,sammicohen,rowanblanchard,auli'icravalho,isabellaferreira,Comedy Romance,coming of ag lgbt lesbian sapphic,crush,Comedy Romance coming of ag lgbt lesbian sapphic rowanblanchard auli'icravalho isabellaferreira sammicohen
883502,joshsternfeld,chadmichaelmurray,brucewillis,jessemetcalfe,Action Thriller Crime,mysteri,fortress: sniper's eye,Action Thriller Crime mysteri chadmichaelmurray brucewillis jessemetcalfe joshsternfeld
953079,michaeld.olmos,charlieclark,kunobecker,markozaror,Action Fantasy Comedy,,green ghost and the masters of the stone,Action Fantasy Comedy  charlieclark kunobecker markozaror michaeld.olmos
872177,seanpatricko'reilly,brucewillis,hayleysales,michaelrooker,Science Fiction Action,based on com lockdown,corrective measures,Science Fiction Action based on com lockdown brucewillis hayleysales michaelrooker seanpatricko'reilly
453395,samraimi,benedictcumberbatch,elizabetholsen,chiwetelejiofor,Fantasy Action Adventure,magic superhero based on com aftercreditssting duringcreditssting marvel cinematic universe (mcu) multivers,doctor strange in the multiverse of madness,Fantasy Action Adventure magic superhero based on com aftercreditssting duringcreditssting marvel cinematic universe (mcu) multivers benedictcumberbatch elizabetholsen chiwetelejiofor samraimi
778106,sofiaalvarez,emmapasarow,belmontcameli,katebosworth,Romance Drama,based on young adult novel,along for the ride,Romance Drama based on young adult novel emmapasarow belmontcameli katebosworth sofiaalvarez
678287,marka.z.dippé,petedavidson,j.k.simmons,julienathanson,Animation Family Comedy,,marmaduke,Animation Family Comedy  petedavidson j.k.simmons julienathanson marka.z.dippé
739643,emersonmoore,jordanclairerobbins,theorossi,tahirahsharif,Thriller Horror,,escape the field,Thriller Horror  jordanclairerobbins theorossi tahirahsharif emersonmoore
661231,johnmadden,colinfirth,matthewmacfadyen,kellymacdonald,War History Drama,remak,operation mincemeat,War History Drama remak colinfirth matthewmacfadyen kellymacdonald johnmadden
800937,alexhardcastle,rebelwilson,angourierice,samrichardson,Comedy,cheerlead high school school,senior year,Comedy cheerlead high school school rebelwilson angourierice samrichardson alexhardcastle
532710,keiththomas,ryankieraarmstrong,zacefron,sydneylemmon,Science Fiction Thriller Horror,based on novel or book,firestarter,Science Fiction Thriller Horror based on novel or book ryankieraarmstrong zacefron sydneylemmon keiththomas
756187,elizabethallenrosenbaum,chosenjacobs,lexiunderwood,koltonstewart,Music Comedy Family,music,sneakerella,Music Comedy Family music chosenjacobs lexiunderwood koltonstewart elizabethallenrosenbaum
776512,jerrodcarmichael,jerrodcarmichael,christopherabbott,tiffanyhaddish,Comedy Drama,suicid gun,on the count of three,Comedy Drama suicid gun jerrodcarmichael christopherabbott tiffanyhaddish jerrodcarmichael
860860,chaddharbold,ashleybenson,shilohfernandez,loganmiller,Thriller Drama,,private property,Thriller Drama  ashleybenson shilohfernandez loganmiller chaddharbold
846528,briancates,leigh-allynbaker,tommywoodard,eddiejames,Comedy Family,,family camp,Comedy Family  leigh-allynbaker tommywoodard eddiejames briancates
785037,scottmcgehee,owenteague,haleylurichardson,kimberlyguerrero,Drama,domestic viol,montana story,Drama domestic viol owenteague haleylurichardson kimberlyguerrero scottmcgehee
873126,cosimogomez,alessandrogassmann,ginevrafrancesconi,remogirone,Action Crime Thriller,,vendetta,Action Crime Thriller  alessandrogassmann ginevrafrancesconi remogirone cosimogomez
820446,simoncurtis,hughbonneville,maggiesmith,jimcarter,Drama Romance,period drama based on tv seri,downton abbey: a new era,Drama Romance period drama based on tv seri hughbonneville maggiesmith jimcarter simoncurtis
420821,akivaschaffer,andysamberg,johnmulaney,kikilayne,Animation Family Comedy Adventure Mystery,"cartoon los angeles, california former best friend missing person duringcreditssting live action and anim",chip 'n dale: rescue rangers,"Animation Family Comedy Adventure Mystery cartoon los angeles, california former best friend missing person duringcreditssting live action and anim andysamberg johnmulaney kikilayne akivaschaffer"
780609,alexgarland,jessiebuckley,rorykinnear,paapaessiedu,Horror Thriller Fantasy,vacat flashback church police offic body horror pub,men,Horror Thriller Fantasy vacat flashback church police offic body horror pub jessiebuckley rorykinnear paapaessiedu alexgarland
865686,machinegunkelly,machinegunkelly,modsun,beckyg,Comedy,celebr fame break-up,good mourning,Comedy celebr fame break-up machinegunkelly modsun beckyg machinegunkelly
810171,richardwong,eugenioderbez,samaraweaving,maxgreenfield,Comedy Romance,remak,the valet,Comedy Romance remak eugenioderbez samaraweaving maxgreenfield richardwong
819309,careywilliams,donaldwatkins,rjcyler,sebastianchacon,Comedy Drama Thriller,male friendship,emergency,Comedy Drama Thriller male friendship donaldwatkins rjcyler sebastianchacon careywilliams
361743,josephkosinski,tomcruise,milesteller,jenniferconnelly,Action Drama,sequel,top gun: maverick,Action Drama sequel tomcruise milesteller jenniferconnelly josephkosinski
504827,lorenbouchard,h.jonbenjamin,kristenschaal,johnroberts,Animation Adventure Comedy,aftercreditssting based on tv seri,the bob's burgers movie,Animation Adventure Comedy aftercreditssting based on tv seri h.jonbenjamin kristenschaal johnroberts lorenbouchard
872170,rickdugdale,anthonyhopkins,chrisbrochu,alekspaunovic,Science Fiction Thriller,screenlif,zero contact,Science Fiction Thriller screenlif anthonyhopkins chrisbrochu alekspaunovic rickdugdale
833420,jonascarpignano,swamyrotolo,claudiorotolo,greciarotolo,Drama,,a chiara,Drama  swamyrotolo claudiorotolo greciarotolo jonascarpignano
974691,treyparker,treyparker,mattstone,aprilstewart,Animation Comedy,adult anim drought water,south park the streaming wars,Animation Comedy adult anim drought water treyparker mattstone aprilstewart treyparker
