id,director,actor1,actor2,actor3,genres,keywords,title
623491,mcg,judahlewis,samaraweaving,jennaortega,Comedy Horror,babysitt sequel satanic cult,The Babysitter: Killer Queen
632666,rachelleegoldenberg,haleylurichardson,barbieferreira,marymccormack,Drama Comedy,based on novel or book marriage propos pregnanc stalker road trip coming of ag lgbt childhood friend woman director teenag,Unpregnant
499932,antoniocampos,tomholland,billskarsgård,rileykeough,Crime Drama Thriller,suicid sheriff based on novel or book small town gun murder serial kil post world war ii,The Devil All the Time
616251,nataliekrinsky,geraldineviswanathan,dacremontgomery,utkarshambudkar,Comedy Romance,new york c roommat woman director,The Broken Hearts Gallery
611114,lukeeve,brentonthwaites,lilysullivan,joeljackson,Romance Drama Comedy,,I Met a Girl
707408,jonstevenson,brianlandisfolkins,wilwheaton,kathleenbrady,Horror Thriller,,Rent-A-Pal
726739,seanmcnamara,melissarauch,maxgreenfield,georgelopez,Comedy Action,cat villain dog,Cats & Dogs 3: Paws Unite!
615115,yuvaladler,noomirapace,joelkinnaman,chrismessina,Thriller History Drama,post world war ii,The Secrets We Keep
627290,gerardbush,janellemonáe,ericlange,jenamalone,Horror,kidnap racism,Antebellum
545237,seandurkin,judelaw,carriecoon,charlieshotwell,Drama Romance,,The Nest
536396,rogermichell,susansarandon,katewinslet,miawasikowska,Drama,terminal il remak,Blackbird
479259,williamolsson,alexandradaddario,takehirohira,caricevanhouten,Drama,"based on novel or book tokyo, japan",Lost Girls & Love Hotels
803708,taylora.purdee,taylora.purdee,nathanpurdee,kassiedepaiva,Drama Music,,Killian & the Comeback Kids
829280,harrybradbeer,milliebobbybrown,henrycavill,louispartridge,Mystery Adventure Comedy Crime,detect victorian england sequel,Enola Holmes
556984,aaronsorkin,eddieredmayne,sachabaroncohen,josephgordon-levitt,Drama History,"chicago, illinoi based on true stori 1960s",The Trial of the Chicago 7
539885,tatetaylor,jessicachastain,johnmalkovich,common,Action Crime Drama Adventure Thriller,assassin murder,Ava
541305,mirandajuly,evanrachelwood,debrawinger,ginarodriguez,Crime Drama Comedy,"los angeles, california lgbt woman director",Kajillionaire
653606,andrewcohn,richardjenkins,shanepaulmcghie,da'vinejoyrandolph,Comedy Drama,racism,The Last Shift
621870,annamastro,peytonelizabethlee,ashleyliao,isabellablake-thomas,Action Adventure Comedy Fantasy,,Secret Society of Second-Born Royals
664498,marccarlini,tommydewey,françoisarnaud,minkakelly,Drama,road trip buddy film,She's in Portland
733156,cooperkarl,madelainepetsch,alexanderkoch,decemberensminger,Thriller Horror,,Sightless
597156,joemantello,jimparsons,zacharyquinto,mattbomer,Drama,gay,The Boys in the Band
519056,julietaymor,juliannemoore,aliciavikander,luluwilson,Drama,based on novel or book biographi based on true stori,The Glorias
575417,sofiacoppola,rashidajones,billmurray,marlonwayans,Drama Comedy,new york c woman director father daughter relationship,On the Rocks
604578,brianduffield,katherinelangford,charlieplummer,hayleylaw,Comedy Horror,high school based on young adult novel,Spontaneous
567971,ozrodriguez,jadenmichael,geraldw.jonesiii,gregorydiaziv,Comedy Horror,,Vampires vs. the Bronx
435615,brandoncronenberg,andreariseborough,christopherabbott,jenniferjasonleigh,Horror Thriller Science Fiction,gun hallucin mind control murder gore,Possessor
595149,darrenlynnbousman,maggieq,lukehemsworth,alexessoe,Horror Mystery,suicid hallucin pregnanc,Death of Me
158011,bradanderson,halleberry,abigailbreslin,morrischestnut,Crime Thriller,gas stat kidnap psychopath horror murder serial kil,The Call
660982,mikeelliott,madisonpettis,lizzebroadway,pipercurda,Comedy,high school spin off,American Pie Presents: Girls' Rules
